,alcoholic,cocktail_name,glass,ingredients,ingredients_and_quantities,instructions,cocktail_picture,popular_month_name,visitors,popular_month_no,popular_season_name,alcohol_type_includes,liqueurs_includes
0,Alcoholic,155 Belmont,White wine glass,"Orange Juice, Vodka, Light Rum, Dark Rum, ","Orange juice - 1 shot , Vodka - 1 shot , Light rum - 2 shots , Dark rum - 1 shot ,",Blend with ice. Serve in a wine glass. Garnish with carrot.,https://i2.wp.com/dishesdelish.com/wp-content/uploads/2018/09/Rum-Swizzle-square-1.jpg,,,,,"['rum', 'vodka']",
1,Alcoholic,1-900-FUK-MEUP,Old-fashioned glass,"Pineapple Juice, Cranberry Juice, Amaretto, Malibu Rum, Midori Melon Liqueur, Chambord Raspberry Liqueur, Grand Marnier, Absolut Kurant, ","Pineapple juice - 1/4 oz , Cranberry juice - 1/2 oz , Amaretto - 1/4 oz , Malibu rum - 1/4 oz , Midori melon liqueur - 1/4 oz , Chambord raspberry liqueur - 1/4 oz , Grand Marnier - 1/4 oz , Absolut Kurant - 1/2 oz ,",Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,https://lh3.googleusercontent.com/2oQEK0v9_qizz5IBVJE6iLLKN07Vlp0t_OVPtJUojBOlog1hBKdCWu-hNyOpXAGN6jRfBrz9q530PpWRcmc1HUEl_W85FA01fsw=w1280-h1280-c-rj-v1-e365,,,,,"['rum', 'vodka']",['liqueurs']
2,Alcoholic,110 in the shade,Beer Glass,"Tequila, Lager, ","Tequila - 1.5 oz , Lager - 16 oz ,",Drop shooter in glass. Fill with beer,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,,,,,"['beer', 'tequila']",
3,Alcoholic,151 Florida Bushwacker,Beer mug,"Vanilla Ice-Cream, Coconut Liqueur, Milk, Cointreau, Dark Creme De Cacao, 151 Proof Rum, Light Rum, Malibu Rum,","Vanilla ice-cream - 1 cup , Coconut liqueur - 1 oz , Milk - 3 oz , Cointreau - 1 oz , Dark Creme de Cacao - 1 oz , 151 proof rum - 1/2 oz Bacardi , Light rum - 1/2 oz , Malibu rum - 1/2 oz ,",Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,,,,,['rum'],['liqueurs']
4,Alcoholic,252,Shot glass,"Wild Turkey, 151 Proof Rum,","Wild Turkey - 1/2 shot , 151 proof rum - 1/2 shot Bacardi ,","Add both ingredients to shot glass, shoot, and get drunk quick",http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,,,,,"['rum', 'whiskey']",['liqueurs']
5,Alcoholic,24k nightmare,Shot glass,"151 Proof Rum, Rumple Minze, Jägermeister, Goldschlager,","151 proof rum - 1/2 oz Bacardi , Rumple Minze - 1/2 oz , Jägermeister - 1/2 oz , Goldschlager - 1/2 oz ,","Add over ice,shake and pour.","https://ik.imagekit.io/bhug69xts/tr:h-1200,w-1200/red-october.png",,,,,"['beer', 'rum']",['liqueurs']
6,Alcoholic,3 Wise Men,Collins glass,"Jim Beam, Johnnie Walker, Jack Daniels, ","Jim Beam - 1/3 oz , Johnnie Walker - 1/3 oz , Jack Daniels - 1/3 oz ,",put them them in a glass... and slam it to tha head.,http://www.cocktailhunter.com/wp-content/uploads/2013/01/3-Wise-Men.jpg,,,,,['whiskey'],
7,Alcoholic,3-Mile Long Island Iced Tea,Collins Glass,"Lemon, Bitters, Sweet And Sour, Coca-Cola, Vodka, Triple Sec, Tequila, Light Rum, Gin, ","Lemon - Garnish with, Bitters - 1 wedge , Sweet and sour - 1-2 dash , Coca-Cola - 1/2 oz, Vodka - 1/2 oz, Triple sec - 1/2 oz, Tequila - 1/2 oz, Light rum - 1/2 oz, Gin - 1/2 oz,",Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,"https://ik.imagekit.io/bhug69xts/tr:h-1200,w-1200/long-island-iced-tea.png",,,,,"['beer', 'gin', 'rum', 'tequila', 'vodka']",['liqueurs']
8,Alcoholic,410 Gone,Collins Glass,"Coca-Cola, Peach Vodka, ","Coca-Cola, Peach Vodka - 2-3 oz,",,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,,,,,['vodka'],
9,Alcoholic,50/50,Collins Glass,"Orange Juice, Grand Marnier, Vanilla Vodka, ","Orange juice - Fill with , Grand Marnier - 1 splash , Vanilla vodka - 2 1/2 oz ,",fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,,,,,['vodka'],['liqueurs']
10,Alcoholic,501 Blue,Collins Glass,"7-Up, Sour Mix, Vodka, Blueberry Schnapps, Blue Curacao,","7-Up, Sour mix, Vodka, Blueberry schnapps, Blue Curacao,",Mix equal amounts into a glass with ice.,http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,,,,,"['beer', 'vodka']",
11,Alcoholic,57 Chevy with a White License Plate,Highball glass,"Vodka, Creme De Cacao, ","Vodka - 1 oz , Creme de Cacao - 1 oz white ,",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,https://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,,,,,['vodka'],
12,Alcoholic,69 Special,Collins Glass,"Lemon Juice, 7-Up, Gin,","Lemon juice - 0.75 oz , 7-Up - 4 oz , Gin - 2 oz dry ,","Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",https://www.cocktailmag.fr/media/k2/items/cache/c3698948bbef8e01b61b372d4a29088b_M.jpg,,,,,['gin'],
13,Alcoholic,747,Shot glass,"Frangelico, Baileys Irish Cream, Kahlua, ","Frangelico - 1/3 part , Baileys irish cream - 1/3 part , Kahlua - 1/3 part ,","pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,,,,,,['liqueurs']
14,Alcoholic,747 Drink,Highball glass,"Sprite, Cranberry Juice, Roses Sweetened Lime Juice, Vodka, ","Sprite - Top, Cranberry Juice - 1 oz, Roses sweetened lime juice - 1 oz, Vodka - 1 oz,","Fill a Collins glass with ice.

Pour in vodka, lime cordial, and cranberry juice.

Fill up with Sprite.

Garnish with a Lime wheel or some cranberries",http://www.cocktailhunter.com/wp-content/uploads/2012/08/747.jpg,,,,,"['vodka', 'wine']",
15,Alcoholic,9 1/2 Weeks,Cocktail glass,"Orange Juice, Strawberry Liqueur, Orange Curacao, Absolut Citron, ","Orange juice - 1 oz , Strawberry liqueur - 1 splash , Orange Curacao - 1/2 oz , Absolut Citron - 2 oz ,",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,,,,,['vodka'],
16,Alcoholic,A1,Cocktail glass,"Grenadine, Lemon Juice, Grand Marnier, Gin, ","Grenadine - 1/8 Shot, Lemon Juice - 1/4 Shot, Grand Marnier - 1 Shot , Gin - 1 3/4 shot ,","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,,,,,['gin'],['liqueurs']
17,Alcoholic,ABC,Shot glass,"Cognac, Baileys Irish Cream, Amaretto, ","Cognac - 1/3 , Baileys irish cream - 1/3 , Amaretto - 1/3 ,",Layered in a shot glass.,https://de.inshaker.com/uploads/cocktail/hires/980/1556802260-ABC-highres.jpg,,,,,['brandy'],['liqueurs']
18,Alcoholic,Ace,Martini Glass,"Egg White, Milk, Heavy Cream, Grenadine, Gin, ","Egg White - 1/2 Fresh, Milk - 1/2 shot, Heavy cream - 1/2 shot , Grenadine - 1/2 shot , Gin - 2 shots ,",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,http://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,,,,,['gin'],
19,Alcoholic,ACID,Shot glass,"Wild Turkey, 151 Proof Rum,","Wild Turkey - 1 oz , 151 proof rum - 1 oz Bacardi ,",Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,http://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,,,,,"['rum', 'whiskey']",['liqueurs']
20,Alcoholic,Adam,Cocktail glass,"Grenadine, Lemon Juice, Dark Rum, ","Grenadine - 1 tsp , Lemon juice - 1 oz , Dark rum - 2 oz ,","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",http://www.thecocktaildb.com/images/media/drink/rwuxsv1472812169.jpg,,,,,['rum'],
21,Alcoholic,AT&T,Highball Glass,"Tonic Water, Gin, Absolut Vodka, ","Tonic water - 4 oz , Gin - 1 oz , Absolut Vodka - 1 oz ,","Pour Vodka and Gin over ice, add Tonic and Stir",http://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,,,,,"['gin', 'vodka']",
22,Alcoholic,A. J.,Cocktail glass,"Grapefruit Juice, Applejack, ","Grapefruit juice - 1 oz , Applejack - 1 1/2 oz ,","Shake ingredients with ice, strain into a cocktail glass, and serve.",https://www.abc.virginia.gov/library/products/images/recipes/aj-cocktail.jpg?h=400&w=311&la=en&hash=174F5723093AB2CBC3342F75E5878ACB,,,,,['brandy'],
23,Alcoholic,Avalon,Highball glass,"Lemonade, Lemon Juice, Apple Juice, Pisang Ambon, Vodka, ","Lemonade, Lemon juice - 1 1/2 part , Apple juice - 6 parts , Pisang Ambon - 1 part , Vodka - 3 parts,","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",http://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,,,,,['vodka'],
24,Non alcoholic,Apello,Collins Glass,"Maraschino Cherry, Apple Juice, Grapefruit Juice, Orange Juice, ","Maraschino cherry - 1 , Apple juice - 1 cl , Grapefruit juice - 3 cl , Orange juice - 4 cl ,",Stirr. Grnish with maraschino cherry.,https://thesaltymarshmallow.com/wp-content/uploads/2021/12/tequila-sunrise3-683x1024.jpg,,,,,,['liqueurs']
25,Alcoholic,Affair,Highball glass,"Club Soda, Cranberry Juice, Orange Juice, Strawberry Schnapps, ","Club soda, Cranberry juice - 2 oz , Orange juice - 2 oz , Strawberry schnapps - 2 oz ,","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",https://cdn.tipsybartender.com/tipsybartender/jpg/wp-content/uploads/2018/02/Affair-Cocktail.jpg?aspect_ratio=4:3,,,,,,
26,Alcoholic,Abilene,Highball glass,"Orange Juice, Peach Nectar, Dark Rum, ","Orange juice - 3 oz , Peach nectar - 2 oz , Dark rum - 1 1/2 oz ,",Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,http://www.thecocktaildb.com/images/media/drink/ysqwwt1461919465.jpg,,,,,['rum'],
27,Alcoholic,Almeria,Cocktail glass,"Egg White, Kahlua, Dark Rum, ","Egg white - 1 , Kahlua - 1 oz , Dark rum - 2 oz ,","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.haveacocktail.com/images/da/3/351.jpg,,,,,['rum'],['liqueurs']
28,Alcoholic,Addison,Martini Glass,"Vermouth, Gin, ","Vermouth - 1 1/2 shot , Gin - 1 1/2 shot ,",Shake together all the ingredients and strain into a cold glass.,https://pointsmilesandbling.com/wp-content/uploads/2023/09/the-toronto-drink-1170x770.jpg,,,,,"['gin', 'wine']",['liqueurs']
29,Alcoholic,Applecar,Cocktail glass,"Lemon Juice, Triple Sec, Applejack, ","Lemon juice - 1 oz , Triple sec - 1 oz , Applejack - 1 oz ,","Shake all ingredients with ice, strain into a cocktail glass, and serve.",http://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,,,,,['brandy'],['liqueurs']
30,Alcoholic,Acapulco,Old-fashioned glass,"Mint, Egg White, Sugar, Lime Juice, Triple Sec, Light Rum, ","Mint - 1 , Egg white - 1 , Sugar - 1 tsp , Lime juice - 1 tblsp , Triple sec - 1 1/2 tsp , Light rum - 1 1/2 oz ,",Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,https://i.pinimg.com/736x/9e/92/e9/9e92e9ff1ab0986230419cd0b942cbba.jpg,,,,,['rum'],['liqueurs']
31,Alcoholic,Affinity,Cocktail glass,"Orange Bitters, Dry Vermouth, Sweet Vermouth, Scotch, ","Orange bitters - 2 dashes , Dry Vermouth - 1 oz , Sweet Vermouth - 1 oz , Scotch - 1 1/2 oz ,","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",http://www.thecocktaildb.com/images/media/drink/nwatpb1504817045.jpg,,,,,"['whiskey', 'wine']",['liqueurs']
32,Alcoholic,Aviation,Cocktail glass,"Maraschino Liqueur, Lemon Juice, Gin, ","maraschino liqueur - 1.5 cl, lemon juice - 1.5 cl, Gin - 4.5 cl,",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,http://www.thecocktaildb.com/images/media/drink/ruutxt1478253328.jpg,,,,,['gin'],['liqueurs']
33,Alcoholic,After sex,Highball glass,"Orange Juice, Creme De Banane, Vodka, ","Orange juice, Creme de Banane - 1 cl , Vodka - 2 cl ,",Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,http://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,,,,,['vodka'],
34,Alcoholic,Applejack,Cocktail glass,"Sour Mix, Midori Melon Liqueur, Jack Daniels, ","Sour mix - 2 oz , Midori melon liqueur - 1/2 oz , Jack Daniels - 1 oz ,","Add all ingredients into mixing glass, chill and strain into cocktail glass",http://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,,,,,"['beer', 'whiskey']",['liqueurs']
35,Non alcoholic,Afterglow,Highball Glass,"Pineapple Juice, Orange Juice, Grenadine, ","Pineapple juice - 4 parts , Orange juice - 4 parts , Grenadine - 1 part ,",Mix. Serve over ice.,http://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,,,,,,
36,Alcoholic,Afternoon,Collins Glass,"Cream, Coffee, Frangelico, Baileys Irish Cream, Kahlua, ","Cream, Coffee - 4 cl hot , Frangelico - 1 1/2 , Baileys irish cream - 1 cl , Kahlua - 1 cl ,","Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",http://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,,,,,,['liqueurs']
37,Alcoholic,Alexander,Cocktail glass,"Nutmeg, Light Cream, Creme De Cacao, Gin, ","Nutmeg, Light cream - 2 oz , Creme de Cacao - 1/2 oz white , Gin - 1/2 oz ,",Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,http://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,März,90.0,3.0,Spring,['gin'],
38,Alcoholic,Autodafé,Highball glass,"Soda Water, Lime Juice, Vodka, ","Soda water, Lime juice - 1 dash , Vodka - 4 cl ,",Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,http://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,,,,,['vodka'],
39,Alcoholic,Allegheny,Cocktail glass,"Lemon Peel, Lemon Juice, Blackberry Brandy, Bourbon, Dry Vermouth, ","Lemon peel - 1 twist of , Lemon juice - 1 1/2 tsp , Blackberry brandy - 1 1/2 tsp , Bourbon - 1 oz , Dry Vermouth - 1 oz ,",Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,http://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,,,,,"['brandy', 'whiskey', 'wine']",['liqueurs']
40,Alcoholic,Americano,Collins glass,"Orange Peel, Lemon Peel, Sweet Vermouth, Campari, ","Orange peel - Twist of , Lemon peel - Twist of , Sweet Vermouth - 1 oz red , Campari - 1 oz ,","Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",http://www.thecocktaildb.com/images/media/drink/trwruu1478253126.jpg,,,,,['wine'],['liqueurs']
41,Alcoholic,B-52,Shot glass,"Kahlua, Grand Marnier, Baileys Irish Cream, ","Kahlua - 1/4 , Grand Marnier - 1/3 , Baileys irish cream - 1/3 ,",Layer ingredients into a shot glass. Serve with a stirrer.,http://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,,,,,,['liqueurs']
42,Alcoholic,B-53,Collins Glass,"Grand Marnier, Sambuca, Kahlua, ","Grand Marnier - 1/3 shot , Sambuca - 1/3 shot , Kahlua - 1/3 shot ,","Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",http://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,,,,,,['liqueurs']
43,Alcoholic,Bijou,Cocktail glass,"Sweet Vermouth, Gin, Green Chartreuse, Orange Bitters, ","Sweet Vermouth - 1 oz, Gin - 1 oz, Green Chartreuse - 1 oz, Orange Bitters - 1 dash,","Stir in mixing glass with ice and strain

",https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg,,,,,"['gin', 'wine']",['liqueurs']
44,Alcoholic,Boxcar,Whiskey sour glass,"Egg White, Grenadine, Lemon Juice, Triple Sec, Gin, ","Egg white - 1 , Grenadine - 1/2 tsp , Lemon juice - 1 tsp , Triple sec - 1 oz , Gin - 1 1/2 oz ,","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",http://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,,,,,['gin'],['liqueurs']
45,Alcoholic,Big Red,Shot glass,"Goldschlager, Irish Cream, ","Goldschlager - 1/2 oz , Irish cream - 1/2 oz ,",Pour ingredients into 1 ounce shot glass,http://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,,,,,['beer'],['liqueurs']
46,Alcoholic,Bellini,Champagne Flute,"Peach Schnapps, Champagne, ","Peach schnapps - 1 oz , Champagne - 6 oz ,","Pour peach purée into chilled flute, add sparkling wine. Stir gently.",http://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,,,,,['wine'],
47,Alcoholic,Bramble,Old-Fashioned glass,"Creme De Mure, Sugar Syrup, Lemon Juice, Gin, ","Creme de Mure - 1.5 cl, Sugar syrup - 1 cl, lemon juice - 1.5 cl, Gin - 4 cl,","Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",http://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg,,,,,['gin'],
48,Alcoholic,Balmoral,Cocktail glass,"Bitters, Dry Vermouth, Sweet Vermouth, Scotch, ","Bitters - 2 dashes , Dry Vermouth - 1/2 oz , Sweet Vermouth - 1/2 oz , Scotch - 1 1/2 oz ,","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",http://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg,,,,,"['whiskey', 'wine']",['liqueurs']
49,Alcoholic,Bluebird,Cocktail glass,"Lemon Peel, Maraschino Cherry, Bitters, Blue Curacao, Triple Sec, Gin, ","Lemon peel - 1 twist of , Maraschino cherry - 1 , Bitters - 2 dashes , Blue Curacao - 1/2 oz , Triple sec - 1/2 oz , Gin - 1 1/2 oz ,","In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",http://www.thecocktaildb.com/images/media/drink/vxypsq1441209971.jpg,,,,,['gin'],['liqueurs']
50,Alcoholic,Brooklyn,Cocktail glass,"Maraschino Cherry, Angostura Bitters, Maraschino Liqueur, Dry Vermouth, Rye Whiskey, ","Maraschino Cherry - 1, Angostura Bitters - 3 dashes, Maraschino Liqueur - 1/4 oz, Dry Vermouth - 1 oz, Rye Whiskey - 2 oz,",Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,https://www.liquor.com/thmb/fJUoc876qD-DO8LCy4mGZCqVYQU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/brooklyn-720x720-primary-b29862e885634370a83fa486a1849665.jpg,,,,,"['whiskey', 'wine']",['liqueurs']
51,Non alcoholic,Bora Bora,Highball glass,"Grenadine, Lemon Juice, Passion Fruit Juice, Pineapple Juice, ","Grenadine - 1 cl , Lemon juice - 1 cl , Passion fruit juice - 6 cl , Pineapple juice - 10 cl ,","Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",https://leonceblanc-pro.com/wp-content/uploads/2019/09/visuel-mocktail-bora-bora.jpg,,,,,,
